Time,Protocol,Length,Source,Destination,bad_packet
0.0,0,60,1,1,0
1.945562277,0,60,1,1,0
2.048121298,0,60,1,1,0
2.048130574,0,42,2,2,0
2.150139752,0,60,1,1,0
2.254354264,0,60,1,1,0
4.198071431,0,60,1,1,0
13.401530238,0,60,2,4,0
13.401568688,0,60,2,0,0
14.404074632,0,60,2,4,0
14.404096296,0,60,2,0,0
15.406846324,0,60,2,4,0
15.406869901,0,60,2,0,0
16.409919211,0,60,2,4,0
16.409946759,0,60,2,0,0
17.263620311,0,42,2,1,1
17.274088107,0,42,2,1,1
17.284531769,0,42,2,1,1
17.305248906,0,42,2,1,1
17.326411708,0,42,2,1,1
17.336895846,0,42,2,1,1
17.347560254,0,42,2,1,1
17.35798005,0,42,2,1,1
17.368294934,0,42,2,1,1
17.378436089,0,42,2,1,1
17.388819636,0,42,2,1,1
17.399825876,0,42,2,1,1
17.410098389,0,42,2,1,1
17.412599623,0,60,2,0,0
17.412622237,0,60,2,4,0
17.420716387,0,42,2,1,1
17.431374635,0,42,2,1,1
17.441961899,0,42,2,1,1
17.45250384,0,42,2,1,1
17.462874091,0,42,2,1,1
17.473419698,0,42,2,1,1
17.483815564,0,42,2,1,1
17.494189529,0,42,2,1,1
17.50449157,0,42,2,1,1
17.514792107,0,42,2,1,1
17.52511157,0,42,2,1,1
17.535572877,0,42,2,1,1
17.546168521,0,42,2,1,1
17.556612874,0,42,2,1,1
17.566934876,0,42,2,1,1
17.577760586,0,42,2,1,1
17.588171986,0,42,2,1,1
17.598329247,0,42,2,1,1
17.60886497,0,42,2,1,1
17.619779105,0,42,2,1,1
17.63019291,0,42,2,1,1
17.64057508,0,42,2,1,1
17.651276886,0,42,2,1,1
17.661935149,0,42,2,1,1
17.672401061,0,42,2,1,1
17.682917649,0,42,2,1,1
17.693291147,0,42,2,1,1
17.703905898,0,42,2,1,1
17.714287443,0,42,2,1,1
17.724792081,0,42,2,1,1
17.735222832,0,42,2,1,1
17.745596818,0,42,2,1,1
17.75596777,0,42,2,1,1
17.766328233,0,42,2,1,1
17.776843416,0,42,2,1,1
17.787275974,0,42,2,1,1
17.797768613,0,42,2,1,1
17.808228514,0,42,2,1,1
17.818804439,0,42,2,1,1
17.829185321,0,42,2,1,1
17.839464945,0,42,2,1,1
17.849780131,0,42,2,1,1
17.860120795,0,42,2,1,1
17.870305128,0,42,2,1,1
17.880988967,0,42,2,1,1
17.891262924,0,42,2,1,1
17.901615042,0,42,2,1,1
17.912327391,0,42,2,1,1
17.92305282,0,42,2,1,1
17.933590764,0,42,2,1,1
17.944011088,0,42,2,1,1
17.954411114,0,42,2,1,1
17.964876508,0,42,2,1,1
17.975295108,0,42,2,1,1
17.985717947,0,42,2,1,1
17.99626094,0,42,2,1,1
18.006651583,0,42,2,1,1
18.017011634,0,42,2,1,1
18.027286041,0,42,2,1,1
18.037602291,0,42,2,1,1
18.047949384,0,42,2,1,1
18.058327981,0,42,2,1,1
18.06901434,0,42,2,1,1
18.079357433,0,42,2,1,1
18.089694011,0,42,2,1,1
18.100308569,0,42,2,1,1
18.110950001,0,42,2,1,1
18.121561586,0,42,2,1,1
18.13186783,0,42,2,1,1
18.14215608,0,42,2,1,1
18.152441304,0,42,2,1,1
18.162719894,0,42,2,1,1
18.173146687,0,42,2,1,1
18.18357499,0,42,2,1,1
18.193902556,0,42,2,1,1
18.204376614,0,42,2,1,1
18.214695372,0,42,2,1,1
18.225098409,0,42,2,1,1
18.235942195,0,42,2,1,1
18.246188958,0,42,2,1,1
18.256665335,0,42,2,1,1
18.267334959,0,42,2,1,1
18.274040363,0,42,2,1,1
18.277633364,0,42,2,1,1
18.287911719,0,42,2,1,1
18.298749773,0,42,2,1,1
18.306032833,0,42,2,1,1
18.30605993,0,42,2,1,1
18.306067253,0,42,2,1,1
18.309090972,0,42,2,1,1
18.319406471,0,42,2,1,1
18.329829604,0,42,2,1,1
18.338024944,0,42,2,1,1
18.340164935,0,42,2,1,1
18.342025634,0,42,2,1,1
18.350613931,0,42,2,1,1
18.360973154,0,42,2,1,1
18.370130789,0,42,2,1,1
18.370154434,0,42,2,1,1
18.371357781,0,42,2,1,1
18.374028794,0,42,2,1,1
18.381880114,0,42,2,1,1
18.392309424,0,42,2,1,1
18.402027743,0,42,2,1,1
18.402588371,0,42,2,1,1
18.406029094,0,42,2,1,1
18.40604637,0,42,2,1,1
18.412878327,0,42,2,1,1
18.416542097,0,60,2,4,0
18.416566973,0,60,2,0,0
18.423952049,0,42,2,1,1
18.43402804,0,42,2,1,1
18.43430447,0,42,2,1,1
18.438027734,0,42,2,1,1
18.438043677,0,42,2,1,1
18.444613984,0,42,2,1,1
18.455886496,0,42,2,1,1
18.466309129,0,42,2,1,1
18.470037385,0,42,2,1,1
18.470059632,0,42,2,1,1
18.470069788,0,42,2,1,1
18.47660786,0,42,2,1,1
18.487084071,0,42,2,1,1
18.49747126,0,42,2,1,1
18.498027273,0,42,2,1,1
18.498037343,0,42,2,1,1
18.502138989,0,42,2,1,1
18.507765956,0,42,2,1,1
18.518817041,0,42,2,1,1
18.529415814,0,42,2,1,1
18.530046092,0,42,2,1,1
18.534050398,0,42,2,1,1
18.534115289,0,42,2,1,1
18.539993284,0,42,2,1,1
18.550516148,0,42,2,1,1
18.561111281,0,42,2,1,1
18.562061649,0,42,2,1,1
18.562136285,0,42,2,1,1
18.562172937,0,42,2,1,1
18.571417914,0,42,2,1,1
18.581931249,0,42,2,1,1
18.5923089,0,42,2,1,1
18.59419455,0,42,2,1,1
18.594207071,0,42,2,1,1
18.594214184,0,42,2,1,1
18.602695318,0,42,2,1,1
18.613358436,0,42,2,1,1
18.623861313,0,42,2,1,1
18.626030044,0,42,2,1,1
18.626049259,0,42,2,1,1
18.626069553,0,42,2,1,1
18.634218081,0,42,2,1,1
18.644626416,0,42,2,1,1
18.656325023,0,42,2,1,1
18.658046445,0,42,2,1,1
18.66203066,0,42,2,4,1
18.662058305,0,42,2,1,1
18.662070756,0,42,2,0,1
18.662081112,0,42,2,1,1
18.664211561,0,42,3,3,0
18.665775396,0,42,0,3,0
18.666624503,0,42,2,1,1
18.677060196,0,42,2,1,1
18.687376625,0,42,2,1,1
18.690096677,0,42,2,1,1
18.690206053,0,42,2,1,1
18.690241218,0,42,2,1,1
18.697862735,0,42,2,1,1
18.708744,0,42,2,1,1
18.719475083,0,42,2,1,1
18.722047706,0,42,2,1,1
18.722089917,0,42,2,1,1
18.722104687,0,42,2,1,1
18.729817954,0,42,2,1,1
18.740715383,0,42,2,1,1
18.751236031,0,42,2,1,1
18.754037871,0,42,2,1,1
18.754065756,0,42,2,1,1
18.754080119,0,42,2,1,1
18.761554484,0,42,2,1,1
18.772765788,0,42,2,1,1
18.78347334,0,42,2,1,1
18.786037968,0,42,2,1,1
18.786090388,0,42,2,1,1
18.79007804,0,42,2,1,1
18.793903428,0,42,2,1,1
18.8047468,0,42,2,1,1
18.815394421,0,42,2,1,1
18.818030054,0,42,2,1,1
18.81806554,0,42,2,1,1
18.822107162,0,42,2,1,1
18.825827468,0,42,2,1,1
