"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","1a:5e:19:76:52:13","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.29.25"
"2","0.005682535","172.27.26.33","172.217.18.138","TCP","66","42312  >  443 [ACK] Seq=1 Ack=1 Win=172 Len=0 TSval=2969281206 TSecr=1341834733"
"3","0.005683790","172.27.26.33","172.217.18.138","QUIC","1292","Initial, DCID=e52a07a0c85aec81"
"4","0.005701784","172.27.26.33","172.217.18.138","TCP","66","[TCP Dup ACK 2#1] 42312  >  443 [ACK] Seq=1 Ack=1 Win=172 Len=0 TSval=2969281206 TSecr=1341834733"
"5","0.005725081","172.27.26.33","172.217.18.138","QUIC","1292","Initial, DCID=e52a07a0c85aec81"
"6","0.011038467","172.27.26.33","172.217.18.138","TLSv1.2","687","Client Hello (SNI=searchnotifications-pa.googleapis.com)"
"7","0.011039954","172.27.26.33","142.250.201.138","TCP","74","38522  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4043356165 TSecr=0 WS=512"
"8","0.011040022","172.27.26.33","142.250.201.138","TCP","74","38524  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4043356180 TSecr=0 WS=512"
"9","0.011067790","172.27.26.33","172.217.18.138","TCP","687","[TCP Retransmission] 42312  >  443 [PSH, ACK] Seq=1 Ack=1 Win=172 Len=621 TSval=2969281209 TSecr=1341834733"
"10","0.011098069","172.27.26.33","142.250.201.138","TCP","74","[TCP Retransmission] 38522  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4043356165 TSecr=0 WS=512"
"11","0.011104122","172.27.26.33","142.250.201.138","TCP","74","[TCP Retransmission] 38524  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=4043356180 TSecr=0 WS=512"
"12","0.013143096","vivoMobileCo_64:ca:86","Broadcast","ARP","60","Who has 172.27.0.2? Tell 172.27.28.110"
"13","0.062903478","fe80::e482:c5e9:dadb:aa00","ff02::1:3","LLMNR","84","Standard query 0x97eb A wpad"
"14","0.062903718","fe80::e482:c5e9:dadb:aa00","ff02::1:3","LLMNR","84","Standard query 0xb1df AAAA wpad"
"15","0.089667789","LiteonTechno_9c:e3:18","Broadcast","ARP","60","Who has 172.27.217.19? Tell 172.27.157.252"
"16","0.164895409","172.27.26.33","192.178.24.234","QUIC","1292","Initial, DCID=5d0f0c24ddc8ba1c, PKN: 3, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, PING"
"17","0.164895602","172.27.26.33","172.217.18.138","QUIC","81","Handshake, DCID=e52a07a0c85aec81"
"18","0.164896941","172.27.26.33","172.217.18.138","QUIC","82","Handshake, DCID=e52a07a0c85aec81"
"19","0.164896986","172.27.26.33","142.250.201.138","TCP","66","38522  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=4043356270 TSecr=3688141255"
"20","0.164897032","172.27.26.33","142.250.201.138","TCP","66","38524  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=4043356272 TSecr=3987127945"
"21","0.164917415","172.27.26.33","192.178.24.234","QUIC","1292","Initial, DCID=5d0f0c24ddc8ba1c, PKN: 3, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, PING"
"22","0.164938078","172.27.26.33","172.217.18.138","QUIC","81","Handshake, DCID=e52a07a0c85aec81"
"23","0.164942468","172.27.26.33","172.217.18.138","QUIC","82","Handshake, DCID=e52a07a0c85aec81"
"24","0.164945721","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 19#1] 38522  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=4043356270 TSecr=3688141255"
"25","0.164949437","172.27.26.33","142.250.201.138","TCP","66","[TCP Dup ACK 20#1] 38524  >  443 [ACK] Seq=1 Ack=1 Win=88064 Len=0 TSval=4043356272 TSecr=3987127945"
"26","0.170801740","Intel_ee:8b:58","Broadcast","ARP","60","Who has 172.27.29.127? Tell 172.27.28.115"
"27","0.171711493","172.27.26.33","142.250.201.138","TLSv1.2","641","Client Hello (SNI=youtubei.googleapis.com)"
"28","0.171712616","172.27.26.33","172.217.18.138","QUIC","79","Handshake, DCID=e52a07a0c85aec81"
"29","0.171741075","172.27.26.33","142.250.201.138","TCP","641","[TCP Retransmission] 38522  >  443 [PSH, ACK] Seq=1 Ack=1 Win=88064 Len=575 TSval=4043356307 TSecr=3688141255"
"30","0.171773914","172.27.26.33","172.217.18.138","QUIC","79","Handshake, DCID=e52a07a0c85aec81"
"31","0.182569871","LiteonTechno_9c:e3:0d","Broadcast","ARP","60","Who has 172.27.6.197? Tell 172.27.155.38"
"32","0.214579202","Intel_57:a2:3d","Broadcast","ARP","42","Who has 172.27.29.2? (ARP Probe)"
"33","0.378418557","172.27.26.33","142.250.201.138","TLSv1.2","673","Client Hello (SNI=youtubei.googleapis.com)"
"34","0.378418760","172.27.26.33","172.217.18.138","QUIC","125","Handshake, DCID=e52a07a0c85aec81"
"35","0.378418805","172.27.26.33","172.217.18.138","QUIC","116","Protected Payload (KP0)"
"36","0.378418851","172.27.26.33","172.217.18.138","QUIC","74","Protected Payload (KP0)"
"37","0.378418896","172.27.26.33","172.217.18.138","QUIC","1288","Protected Payload (KP0)"
"38","0.378418939","172.27.26.33","172.217.18.138","QUIC","1292","Protected Payload (KP0)"
"39","0.378418985","172.27.26.33","172.217.18.138","QUIC","1292","Protected Payload (KP0)"
"40","0.378419030","172.27.26.33","172.217.18.138","QUIC","792","Protected Payload (KP0)"
"41","0.378451328","172.27.5.225","172.27.26.33","ICMP","590","Redirect             (Redirect for host)"
"42","0.378472318","172.27.26.33","142.250.201.138","TCP","673","[TCP Retransmission] 38524  >  443 [PSH, ACK] Seq=1 Ack=1 Win=88064 Len=607 TSval=4043356329 TSecr=3987127945"
"43","0.378477811","172.27.26.33","172.217.18.138","QUIC","125","Handshake, DCID=e52a07a0c85aec81"
