No.,Time,Source,Destination,Protocol,Length,Info,Predicted_bad_packet,Time,Length,Num_MAC_Addresses
1.0,0.0,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,0.0,60.0,1.0
2.0,0.126108829,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,0.126108829,60.0,2.0
3.0,0.126108974,Intel_04:06:6e,Broadcast,ARP,42.0,Who has 172.27.0.2? Tell 172.27.29.42,0,0.126108974,42.0,3.0
4.0,0.157247188,8e:c7:ff:d6:7e:fb,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.26.21,0,0.157247188,60.0,4.0
5.0,0.169263142,HonHaiPrecis_e8:4c:a9,Broadcast,ARP,60.0,Who has 172.27.202.76? Tell 172.27.210.153,0,0.169263142,60.0,5.0
10.0,0.22121289,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,0.619454568,60.0,9.0
11.0,0.337060181,aa:4a:ef:9c:1b:d8,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.181,0,0.619456234,60.0,9.0
12.0,0.419699901,2e:95:96:ab:8f:56,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.69,0,0.679984259,60.0,10.0
13.0,0.565427294,LiteonTechno_9c:e3:33,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.243.67,0,0.705875819,60.0,11.0
14.0,0.619454568,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.23.165,0,0.786186496,60.0,12.0
15.0,0.619456234,HonHaiPrecis_e8:4c:71,Broadcast,ARP,60.0,Who has 172.27.97.173? Tell 172.27.23.165,0,0.78716522,60.0,13.0
16.0,0.679984259,HonHaiPrecis_e8:71:f9,Broadcast,ARP,60.0,Who has 172.27.217.16? Tell 172.27.148.191,0,0.823962151,60.0,13.0
17.0,0.705875819,HonHaiPrecis_e8:be:0b,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.234.220,0,0.901799748,60.0,13.0
18.0,0.786186496,Intel_3c:db:60,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.184,0,1.027049322,60.0,14.0
19.0,0.78716522,Intel_60:3b:0a,Broadcast,ARP,60.0,Who has 172.27.30.143? (ARP Probe),0,1.120505599,60.0,15.0
20.0,0.823962151,HonHaiPrecis_e8:76:8f,Broadcast,ARP,60.0,Who has 172.27.238.133? Tell 172.27.7.200,0,1.209064241,60.0,15.0
21.0,0.901799748,8e:1f:05:2b:be:de,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.27.37,0,1.29720273,60.0,16.0
24.0,1.027049322,ee:30:5f:31:f9:39,Broadcast,ARP,60.0,Who has 172.27.0.2? Tell 172.27.25.242,0,1.679186333,60.0,16.0
25.0,1.120505599,Intel_0c:b4:e9,Broadcast,ARP,60.0,Who has 172.27.217.19? Tell 172.27.30.64,0,1.794282848,60.0,1.0
